price,total_square,rooms,floor
6699000,19.5,1,8
22000000,51.0,2,13
48232400,117.64,3,20
39000000,84.0,3,32
12800000,70.0,2,8
5200000,29.1,1,1
21000000,105.0,3,15
181408800,263.0,5,4
75000000,100.0,3,30
3900000,19.9,1,25
20244900,58.0,2,29
8711645,72.51,3,12
4500000,31.1,1,1
11689742,45.8,2,25
15970240,38.39,2,20
67499999,112.0,3,5
11200000,45.0,1,8
8553702,24.0,1,23
65000000,141.7,4,3
160000000,165.6,5,3
9590000,56.0,2,7
85000000,219.0,6,20
16499000,51.7,2,11
49473264,97.0,3,10
8100000,44.0,1,14
115949118,175.0,6,9
8000000,54.4,2,17
12000000,64.0,2,21
13500000,44.3,1,8
7500000,44.0,2,3
8650000,50.0,2,5
6900000,35.4,1,10
18688892,45.0,1,3
8200000,55.0,2,3
97476995,92.7,2,3
10900000,55.0,2,7
14700000,55.0,2,2
12503895,50.84,3,9
18770000,35.29,1,23
7871621,29.2,1,4
16630480,37.6,1,7
115000000,219.1,5,14
13000000,43.3,1,19
6900000,20.0,1,2
31500000,84.0,3,13
6700000,16.2,1,2
11990000,39.0,2,23
29800000,72.0,3,10
11500000,80.0,3,14
10807314,41.0,1,4
30807000,94.5,3,16
27450000,46.0,1,5
15800000,58.5,2,15
27786732,61.0,2,7
16448947,64.0,3,7
13032732,56.68,2,17
33500000,78.0,3,3
9300000,38.8,1,5
5900000,32.3,1,2
7919590,62.8,2,16
68688000,162.0,4,9
5550000,15.2,1,1
10995000,38.6,1,3
22500000,115.3,4,2
8700000,37.8,1,7
16666650,46.8,2,7
5450000,45.2,2,4
18800000,54.0,2,16
14736885,56.49,2,33
14300000,54.0,2,2
12000000,36.4,2,9
9600000,44.8,2,1
13576974,52.0,2,9
6310054,42.16,1,15
35315806,81.1,3,2
19000000,66.1,2,15
20600000,101.9,3,17
12762140,55.5,2,25
24100000,72.0,3,5
18000000,63.5,3,7
22650000,50.0,2,9
11499000,40.0,1,11
12353041,37.2,1,17
22000000,131.0,3,13
9500000,36.0,1,18
25500000,75.6,3,3
9900000,74.5,3,3
9365544,44.7,2,3
57473999,101.2,3,13
9329717,24.0,1,22
36000000,133.4,5,3
8500000,53.0,1,6
8700000,41.6,1,10
38000000,81.0,3,12
7500000,58.0,2,6
4100000,23.0,1,6
12000000,44.4,2,9
33100000,80.9,3,8
17850000,53.9,1,10
14314830,37.9,1,37
10350000,51.4,2,10
11800000,36.2,1,2
8617137,23.9,1,12
60119000,79.0,2,15
32000000,92.0,3,18
7988437,23.6,1,9
9350000,49.0,2,9
12550000,44.5,2,3
15200000,41.4,1,18
10700000,39.0,1,10
12568248,55.0,2,10
10384300,42.0,2,14
10890000,80.0,3,18
38028477,47.6,2,37
249799917,486.0,6,3
14601001,67.8,2,6
17100000,54.4,2,11
110000000,214.0,5,4
7200000,32.3,1,6
16401600,80.4,3,4
28856100,63.7,2,30
13750000,56.9,3,2
6999999,41.0,1,2
18392100,60.7,3,9
57049920,130.0,4,42
20900000,40.0,1,4
9300000,55.5,1,4
12800000,38.0,1,19
8743128,35.0,1,15
9000000,54.0,2,13
202016839,261.0,5,3
6400000,35.0,1,9
12387507,42.0,2,2
8650000,63.0,2,4
33455445,47.9,2,17
17500000,40.0,1,40
7999999,21.0,1,5
15900000,60.0,2,7
12800000,58.1,2,22
32000000,62.0,1,18
13000000,68.0,3,4
8802680,35.9,1,10
12328420,32.5,1,15
14180000,51.1,2,5
4750000,26.2,1,1
6299000,38.0,1,6
10700000,62.0,2,7
24924000,67.0,2,19
22500000,59.0,2,8
21900000,74.0,3,2
7300000,40.3,1,1
11000000,62.0,2,14
11746790,25.0,1,19
32800000,103.5,3,3
11000000,30.4,1,2
14213880,87.74,3,16
26300000,78.4,3,8
26672380,63.4,2,38
9500000,44.0,2,8
29748862,55.9,2,25
29700000,43.5,2,2
4950000,41.0,2,2
14000000,76.0,3,22
10500000,60.0,3,3
18569050,55.43,2,26
6100000,35.7,1,12
17900000,38.0,1,16
36698524,77.0,2,10
31800000,83.0,3,16
8200000,55.0,2,13
92000000,95.0,2,5
14086000,50.8,2,7
145000000,194.0,4,3
61899000,114.0,3,3
13000000,36.3,1,7
75000000,150.8,3,5
10700000,24.6,1,5
13196700,39.0,1,25
15992158,58.9,2,5
19500000,71.0,2,4
13026200,38.0,1,26
11250000,47.0,2,2
15279672,56.84,2,11
13500000,39.0,2,6
7990000,42.3,1,5
22800000,76.0,3,13
93000000,205.0,5,2
10700000,50.1,2,1
10800000,32.6,1,18
44239084,83.0,2,9
33000000,67.0,3,3
6300000,32.9,1,8
78700000,138.0,4,30
9459810,27.0,1,4
12800000,62.5,3,11
4900000,39.0,1,16
8600000,35.0,1,1
11700000,34.0,1,8
12500000,58.1,3,6
16700000,65.0,3,10
29113740,90.21,3,8
12200000,44.9,2,2
27500000,51.0,2,14
59990000,180.3,3,4
17950000,41.0,1,26
28171100,41.01,1,20
124988377,133.55,2,4
17600000,100.6,3,14
26359667,68.81,3,27
5800000,30.3,1,5
51990000,158.0,5,6
120000000,236.0,6,7
15200000,75.0,3,6
26851720,47.0,2,42
8250000,25.2,1,14
35207893,66.5,2,3
18306120,39.9,1,22
33258280,75.7,2,5
7500000,34.0,1,15
5500000,36.0,1,2
10181393,33.15,1,20
3300000,11.6,1,1
6600000,33.0,1,6
28700000,68.0,2,2
5650000,30.4,1,4
12990000,60.0,3,7
10000000,42.2,1,3
5250000,19.7,1,2
36499000,67.8,2,2
13000000,52.4,1,2
21699000,60.0,2,11
4350000,19.0,1,1
24099600,76.0,3,6
129000000,220.0,5,3
43514580,68.7,3,13
3200000,12.0,1,2
20560000,43.35,1,17
12200000,44.6,2,3
3650000,22.8,1,1
18500000,41.1,2,9
185000000,178.0,4,13
6950000,48.0,2,5
17439368,69.0,2,20
32461200,71.0,2,2
15007420,43.0,1,9
24500000,94.7,3,5
10000000,29.6,1,2
14795211,62.0,3,14
9759506,40.2,2,7
72600000,132.4,3,15
5700000,33.7,1,1
11010092,35.9,1,21
10000000,63.74,3,4
11599971,36.01,2,23
15500000,89.6,3,10
28000000,43.0,1,4
14000000,69.5,2,17
32500000,73.0,2,10
16500000,57.0,2,2
14538982,49.0,2,13
7990000,53.5,3,1
104400000,93.0,3,12
23909600,76.0,3,4
21610808,98.5,4,13
5600000,46.0,2,4
26991402,93.13,2,7
9200000,38.0,1,34
35988969,61.1,2,7
18900000,104.8,3,10
5400000,34.86,1,5
14633448,61.4,3,13
7490000,38.0,1,17
12219820,59.4,2,10
133033120,160.0,4,3
17500000,47.2,2,4
17311902,69.5,3,4
15000000,77.6,2,8
12000000,60.5,2,6
17015077,44.73,2,2
42000000,113.0,3,6
7284401,20.25,1,24
30450000,94.0,4,6
15900000,91.41,3,11
19322707,65.96,2,5
23500000,62.0,2,5
9587970,39.9,1,9
144888783,200.0,5,4
12009480,34.0,1,6
140000000,255.0,4,37
15700000,64.0,2,13
427325330,363.0,6,9
104333916,153.6,5,22
19983320,41.0,1,5
14700000,49.17,3,3
12700000,44.1,2,2
13150000,35.4,1,14
18734235,57.3,2,13
4600601,23.3,1,6
31000000,78.3,3,11
12500000,68.5,3,13
47133964,77.7,2,38
7300000,43.0,1,12
178951989,175.75,3,13
7411510,37.3,1,5
10800000,42.0,2,8
28515994,59.7,2,14
15099999,55.6,2,5
85000000,170.0,1,7
12500000,70.4,3,18
14812720,42.0,2,22
34035976,98.0,3,13
13900000,64.0,3,9
11500000,31.0,1,2
95000000,214.0,3,3
29000000,94.5,3,8
16500000,50.0,2,3
13921600,45.2,1,19
11990000,59.0,2,6
11687380,31.1,1,24
92000000,260.0,5,6
14300000,57.2,2,20
30500000,106.0,3,11
41671820,73.0,2,7
16786440,47.1,2,6
21142336,73.6,4,12
13056825,36.0,1,21
70000000,126.0,4,10
28000000,95.0,3,3
4900000,19.0,1,7
20500000,41.0,1,12
9500000,37.0,1,12
45000000,133.2,4,4
10300000,33.3,1,12
158000000,234.0,5,8
29830000,58.4,2,26
8700000,32.3,1,22
85000000,164.0,5,5
21100000,45.0,1,13
17388224,74.6,3,5
6700000,29.0,1,15
33500000,75.0,3,21
7499000,46.8,1,2
13808860,30.7,1,20
20800000,75.1,3,1
33500000,66.5,2,19
9800000,35.0,1,3
10608260,86.3,2,5
36324320,87.0,3,26
11300000,23.0,1,2
31128816,85.92,3,32
199900000,203.0,5,7
17237810,50.3,1,26
15704640,46.0,2,12
105520177,117.6,3,14
13800000,57.0,1,2
5500000,31.5,1,6
16127618,75.0,4,9
6550000,37.3,1,21
16963500,78.9,3,15
9693111,61.31,2,22
59999999,199.1,4,2
8426018,54.13,3,17
6310054,42.16,1,12
10244958,57.7,2,2
16823556,65.0,2,16
10049559,34.0,1,2
110000000,215.0,5,4
12923097,61.4,3,3
9500000,45.7,1,14
18950000,76.6,3,2
8209131,19.0,1,12
9857040,61.3,3,19
11736900,48.3,1,5
32500000,120.0,3,2
75000000,100.0,3,11
10500000,43.7,2,2
4900000,30.4,1,3
16798000,52.3,2,17
13185600,49.0,1,2
15084248,56.56,2,9
19600000,66.7,2,8
23700000,57.2,2,10
21500000,82.0,3,8
56000000,147.0,5,14
12990000,94.0,3,4
125000000,170.7,4,4
35000000,67.5,3,10
12889730,41.3,1,14
16700000,60.0,2,1
6218244,37.12,1,18
6350000,39.0,1,2
13400000,52.0,2,3
23700000,62.0,2,5
13700000,52.0,2,11
33535500,84.9,2,2
8000000,48.1,2,4
60900000,100.0,4,5
15100000,50.4,2,11
17900000,58.0,2,5
10700000,35.0,1,11
16200000,84.0,3,10
47000000,107.6,3,5
24500000,79.5,3,6
19300000,59.7,3,3
18190000,37.84,1,3
8800000,27.7,1,10
19500000,94.0,3,15
10500000,62.0,3,8
84900000,90.0,2,5
9124200,27.0,1,10
7500000,54.0,2,14
6876221,35.48,2,21
29683311,81.11,3,5
7200000,30.4,1,7
7658871,22.2,1,12
16233126,59.9,3,6
11500000,36.9,2,2
9500000,37.8,1,1
45000000,55.0,3,16
7150000,52.0,1,4
15300000,61.7,4,7
5300000,43.0,2,5
11000000,37.0,1,18
23000000,81.0,3,9
14300000,37.1,1,8
12500000,46.6,2,9
10400000,45.6,2,5
26422634,103.1,3,2
16900000,110.6,3,11
10321020,28.0,1,19
18350000,63.3,3,11
18406563,40.76,1,44
20451051,40.4,1,9
22800000,68.3,2,11
48044052,98.0,3,25
8000000,49.1,1,16
13900000,44.4,1,6
6500000,52.0,2,4
9200000,36.5,1,4
12750000,81.1,3,12
13490000,80.6,3,21
15000000,44.7,2,16
20000000,82.0,3,4
8700000,39.0,1,12
19080392,41.0,1,52
37232540,82.01,2,49
5100000,23.9,1,10
6316160,20.0,1,13
24800000,59.0,1,9
15000000,58.4,3,8
47000000,127.0,4,4
241878400,272.2,1,13
4800000,25.0,1,9
54969416,108.3,3,15
7915800,27.6,1,9
21790000,37.0,1,24
42700000,61.0,2,7
5600000,19.0,1,1
7900000,42.0,2,20
15650000,74.95,3,3
16000000,75.8,3,10
6400000,34.1,1,4
66800000,99.4,3,3
5500000,28.0,1,5
18994500,40.0,2,27
16289299,40.0,2,25
13490000,40.5,1,2
11499000,44.5,2,7
13750000,70.3,2,6
18280340,79.41,3,31
120680000,126.36,3,28
5500000,33.4,1,11
12990000,40.0,1,14
14000000,40.0,1,17
33000000,68.0,3,9
28000000,75.0,3,15
58450000,167.0,4,26
7279826,20.0,1,24
19913300,47.0,1,23
10000000,46.7,2,3
26000276,105.0,3,11
40000000,100.0,3,2
7080314,22.4,1,4
19500000,89.5,3,1
18200000,55.0,2,12
27132400,47.0,2,45
13200000,73.0,3,13
25900000,69.0,2,26
13777000,60.0,2,3
65000000,120.0,4,3
26460000,68.27,3,26
15000000,39.8,1,3
13000000,50.4,2,1
23463936,64.0,2,30
41055836,68.0,2,10
19500000,72.9,3,5
11800000,63.6,2,8
43095092,98.4,3,8
10900000,44.9,2,10
9100000,52.0,2,4
12700000,55.8,3,9
21600000,64.0,2,20
32000000,50.0,2,17
21353655,55.8,2,22
25000000,57.0,2,7
175361840,210.9,3,4
16080000,53.6,2,13
9000000,59.0,3,11
6590000,34.5,2,16
14200000,53.5,2,6
8300000,52.0,2,2
12500000,30.6,1,2
14735226,62.99,3,18
93870000,170.6,3,10
13000000,60.0,2,5
35000000,91.0,3,2
10200000,38.6,2,17
20000000,45.3,1,3
26310182,65.24,2,19
51724700,98.9,3,19
22500000,77.7,3,7
17000000,52.1,2,13
41055837,68.3,2,10
16995900,89.0,4,24
13800000,54.0,2,8
16000000,63.9,3,3
11076329,65.3,3,6
11000000,44.5,1,2
10723386,42.0,2,2
173500000,212.0,5,4
12500000,38.5,1,4
64065484,116.0,4,16
18722000,81.0,3,10
5990000,41.1,1,10
16500000,62.9,2,14
10859000,64.6,2,10
15088908,40.1,1,3
18000000,107.0,4,17
11800000,47.6,1,9
33208200,87.39,3,5
12700000,41.2,1,16
6300000,42.3,1,5
14733252,77.52,3,9
11312542,44.6,1,4
11500000,40.5,2,5
9999999,55.0,2,13
9650000,34.9,1,25
25059440,67.0,2,33
6749952,26.0,1,15
22000000,90.7,4,5
98000000,112.0,4,2
22000000,65.7,3,4
33400000,70.0,3,9
10990000,42.8,2,3
6500000,37.4,1,3
24700000,68.0,2,5
12800000,45.2,2,3
9500000,58.0,2,10
4150000,29.0,1,12
10600000,50.0,2,3
41990000,74.0,3,7
26500000,84.7,3,4
14600000,41.0,2,5
7350000,47.0,1,14
29800000,70.0,2,12
13400000,66.1,2,12
145000000,300.0,6,9
28000000,91.0,4,7
13000000,44.0,2,12
28350000,60.06,3,23
6800000,47.0,2,2
15200000,48.9,2,3
22000000,87.1,3,13
9200000,31.7,1,1
10121541,38.0,1,12
8800000,34.0,1,6
10600000,83.1,3,14
12600000,53.0,2,23
9800000,76.2,3,2
15946000,62.0,2,2
15800000,56.0,2,8
20000000,60.0,2,11
9900000,32.0,1,3
14000000,82.4,4,16
11700000,52.2,2,5
10500000,32.0,1,8
16800000,67.7,3,2
18500000,53.6,2,14
13200000,47.0,2,9
35490000,66.38,2,18
9290249,33.8,1,4
12121610,71.5,2,11
42500000,117.0,3,15
7350000,44.6,2,6
110000000,144.1,5,12
10200000,37.5,1,5
9450000,33.0,1,12
16500000,87.0,3,6
12900000,39.4,1,14
12500000,62.2,2,11
8200000,43.0,1,18
26000000,79.37,3,2
24500000,76.0,3,6
19000000,53.5,2,11
15800000,43.5,2,5
31500000,80.5,3,8
59990000,80.1,3,9
725635200,1048.0,6,2
5200000,26.6,1,5
11550000,35.0,1,23
9850000,49.7,2,7
30868688,70.0,3,18
18134228,44.0,1,7
8650000,49.3,1,2
9800000,46.8,1,4
19990000,81.0,2,16
7200000,26.2,1,8
19850000,69.2,2,7
11250000,45.7,1,6
6399000,31.4,1,7
26871000,70.9,2,2
4650000,20.1,1,1
73420000,118.0,4,22
8300000,62.4,3,5
13700000,42.0,1,10
29109748,46.0,1,15
39050000,67.44,2,19
26000000,74.0,3,41
29990000,75.0,2,4
7300000,44.0,2,8
21500000,45.0,2,17
126000000,142.6,3,8
10150000,45.0,2,6
28300000,104.0,4,2
8800000,35.2,1,13
13100000,43.7,2,3
7250000,42.2,1,4
15570310,59.0,2,8
7500000,51.5,2,10
14000000,38.0,1,1
13900000,51.5,2,8
15450000,78.0,3,12
6500000,26.5,1,12
12500000,61.1,3,8
7800000,36.8,1,8
12826150,71.0,3,10
31347643,100.1,2,5
37500000,87.1,3,1
9500000,58.3,3,9
17943000,58.2,2,8
12000000,40.0,2,3
18000000,70.0,3,2
11500000,79.6,3,1
14600000,43.0,1,7
12000000,75.1,3,12
65000000,226.2,4,24
41990000,70.0,2,13
4050000,20.5,1,2
35990000,70.0,3,5
29000000,74.8,3,15
17559556,38.0,1,21
17830000,34.93,1,16
15000000,87.0,3,12
41727366,72.3,2,13
23900000,63.5,2,7
35150000,121.0,5,6
23990000,69.45,2,17
17990000,70.18,3,6
6800000,46.7,2,7
57000000,158.0,4,5
7999999,38.4,1,1
15000000,53.5,2,6
9033230,36.0,1,5
6188700,46.0,1,6
9351379,29.5,1,8
23500000,56.0,1,5
12599000,45.0,1,7
23000000,57.0,2,7
21650000,57.1,2,2
15300000,62.0,3,2
10300000,37.8,1,2
6200000,38.0,1,7
8550000,30.5,1,2
9500000,51.0,1,13
24540653,45.5,1,25
15108700,64.0,3,12
160000000,207.0,5,14
31000000,88.0,3,24
17939716,35.0,2,37
15481000,56.5,2,5
8000000,36.2,1,8
15543228,37.34,2,11
39800000,81.8,3,4
19712900,62.0,2,24
15700000,58.1,3,7
21047760,55.2,2,4
40456912,84.0,2,48
13150000,42.3,1,3
25248960,79.2,3,18
13700000,45.4,2,5
11531468,51.2,2,30
19900000,95.0,3,7
23160780,66.9,2,2
17800000,65.0,3,2
39490000,87.7,2,22
17227719,58.9,2,3
22500000,66.2,2,15
9381776,29.5,1,10
12500000,36.5,1,6
34000000,100.0,4,4
15500000,84.8,2,11
9700000,42.6,1,15
13650000,63.5,3,6
10000000,31.4,1,22
41297200,96.04,3,30
65000000,129.0,3,4
39900000,113.6,3,3
41500000,50.0,2,2
9000000,58.4,2,12
8500000,41.0,1,15
6100000,49.0,2,5
5100000,37.9,1,3
15500000,58.8,2,24
11100000,40.0,1,17
4530181,31.96,1,2
17800000,75.0,3,15
21000000,111.3,5,16
16500000,60.0,2,6
55000000,105.0,5,2
6999719,25.12,1,3
119000000,123.3,3,5
31100360,76.04,3,4
36000000,62.7,2,9
6500000,37.0,1,9
62699543,111.86,3,13
26456722,103.6,2,5
11438448,41.3,1,3
6591874,26.0,1,3
28490000,39.1,1,7
16500000,61.2,3,1
14464250,58.6,3,28
36232855,72.47,2,11
38028476,47.6,2,37
6985187,28.0,1,4
49900000,132.0,4,14
18900000,50.0,2,4
17500000,65.2,3,13
11000000,41.7,2,3
13500000,60.0,1,8
9500000,42.0,2,4
8200000,44.0,1,13
13530548,49.92,2,24
22800000,61.6,2,1
69000000,144.1,4,53
6600000,32.5,1,14
31999000,81.0,3,4
12755259,63.4,2,7
18300000,60.5,3,2
8300000,29.0,1,13
17900000,46.0,2,10
13990000,52.2,2,6
5500000,30.9,1,2
10500000,51.2,3,5
14000000,33.3,1,5
9600000,41.4,1,11
12300000,66.0,2,11
74116000,78.9,1,4
31950000,71.0,3,4
46084000,80.0,3,6
50940000,84.9,2,14
5650000,30.2,1,3
27681693,76.9,3,16
45151000,90.0,3,3
18990000,58.3,3,11
9500000,53.0,1,7
13900000,57.2,2,13
5300000,38.9,1,1
11900000,51.0,2,6
9800000,51.4,2,1
29500000,78.0,3,4
18000000,43.0,1,19
8880000,51.3,2,5
119000000,119.5,3,3
11000000,50.6,2,8
44823780,111.78,3,12
13400000,68.5,2,12
21800000,60.0,2,7
13350000,40.7,2,13
5900000,45.0,2,2
9200000,39.0,1,2
33500000,75.4,3,19
49308114,86.5,3,34
22054335,98.5,4,14
38060000,72.0,3,17
9200000,26.0,1,4
16500000,53.7,2,12
6350000,35.0,1,16
11005434,40.0,2,13
173215538,335.7,5,1
15265796,64.5,3,15
24500000,64.8,3,1
6990000,44.2,1,6
13500000,58.0,3,8
40714980,111.0,3,4
207134010,178.41,3,3
60000000,105.0,2,9
16985889,61.4,3,13
32346750,73.0,2,11
13200000,64.3,3,7
16635727,45.99,1,5
15189881,87.4,3,23
38759350,92.51,3,11
18000000,81.6,3,3
18698805,57.9,2,5
12000000,40.0,2,3
10100000,35.4,1,1
48581841,110.69,4,18
34000000,103.92,3,9
66866338,132.43,4,14
12950000,64.9,2,3
16675095,55.4,2,10
37839652,65.0,2,37
19900000,56.6,1,13
30000000,64.6,2,4
13000000,42.0,2,4
22600000,60.2,3,5
11800000,64.0,3,5
9300000,40.9,1,6
13500000,58.5,1,6
18630000,37.0,1,14
9200000,44.2,1,7
12746446,38.0,2,8
24022380,36.4,1,12
10835894,38.0,2,11
17711564,59.0,3,11
74812500,142.5,1,3
8300000,53.67,2,2
9950000,45.9,2,4
23800000,66.0,2,8
29917788,94.0,4,25
17767099,52.9,2,24
210000000,390.0,5,5
5590000,24.2,1,2
21000000,71.0,3,5
9600000,44.0,2,5
26900000,76.0,3,10
119900000,281.0,5,15
12700000,40.1,1,2
12500000,50.9,2,15
6900000,34.8,1,3
96751360,155.0,6,1
21200000,87.9,3,6
10000000,51.0,2,1
12100000,51.0,2,7
18500000,40.0,2,5
11000000,38.9,1,13
28165964,74.0,3,26
9780775,37.7,2,23
28138500,51.0,1,21
59700000,110.0,3,10
19999000,75.0,2,6
6592464,40.72,2,14
6500000,41.0,1,17
18055000,42.6,2,23
14735511,55.7,3,4
14500000,45.0,2,3
9650000,51.6,2,6
8400000,43.0,1,12
4900000,21.1,1,1
16400000,43.1,2,7
11000000,35.0,1,4
19602000,66.0,2,13
5300000,40.7,2,1
13900000,50.1,2,4
57000000,62.3,2,10
19700000,57.2,2,4
74908360,134.8,4,4
12500000,63.0,2,12
10500000,44.3,2,2
7752542,23.0,1,16
17000000,55.5,2,2
45800000,82.0,3,11
248800000,228.0,4,4
6700000,27.0,1,12
17800000,82.0,3,3
15990000,68.6,3,3
14000000,80.0,3,4
17748000,58.0,2,4
32000000,73.0,3,8
13300000,57.0,3,7
15500000,60.0,3,2
8350000,40.1,1,17
16100000,75.2,3,6
49822500,102.2,2,18
13650000,84.0,3,1
12550000,66.6,2,3
16401600,80.4,3,6
8987443,29.0,1,11
24794936,53.8,2,15
11500000,52.0,2,1
17500000,40.0,1,8
48000000,109.4,3,4
16550000,56.7,3,4
13899391,112.1,3,8
6300000,43.0,1,13
32722008,76.08,3,20
7520000,42.9,1,5
16499000,45.3,1,2
10900000,29.0,1,5
24000000,65.5,2,16
58000000,62.4,2,5
13200000,37.0,1,11
423287200,366.0,5,4
16684651,37.4,2,47
11800000,35.4,1,4
4300000,32.3,1,2
15216021,55.89,2,18
16770000,82.9,3,4
13500000,56.3,3,2
7329547,25.0,1,6
11800000,54.3,2,2
16000000,72.2,3,13
27850000,118.0,3,6
27300000,81.4,3,3
27000000,86.0,3,7
15500000,38.0,1,9
27550000,55.1,2,23
17000000,55.3,2,2
32000000,89.9,3,12
25000000,74.0,3,17
11915252,49.5,2,5
18033222,49.9,2,32
5500000,30.6,1,1
20159536,45.0,1,20
112481850,192.0,3,26
15900000,63.9,3,11
11976400,38.0,1,9
8879053,21.0,1,12
23900000,65.0,2,3
8500000,38.0,1,15
5586455,38.93,1,5
15739290,74.7,3,8
10450000,73.0,2,16
21607934,71.0,3,15
8770671,42.0,1,2
33611856,99.0,3,13
10500000,39.0,1,4
12300000,66.0,3,1
43363148,74.0,2,25
45314600,98.51,3,45
12750000,41.0,2,2
